Termocupla1: 	Termocupla2: 	Termocupla3: 	Termocupla4: 	Termocupla5: 	Termocupla6: 
73.297407	83.521673	63.147981	64.576115	78.039967	70.796070	
73.333376	81.300782	87.355597	61.535086	71.798650	80.915727	
71.537316	81.188720	85.909628	67.370836	65.581903	73.267440	
73.146842	78.086891	80.172362	75.973376	80.570592	82.977252	
82.940243	79.088260	67.602793	60.040197	80.290067	79.454950	
83.882928	82.828945	81.340635	71.027562	84.568572	84.810683	
83.963334	72.058479	82.772585	76.402121	77.139252	69.462195	
63.321579	75.869202	89.503444	84.536761	81.492160	72.034949	
64.337219	73.408854	85.361228	85.815133	73.776817	78.910707	
78.350893	63.419035	60.191283	73.855186	67.339083	80.519322	
61.747154	66.673400	82.869500	68.753487	89.195768	69.654912	
88.323937	60.214023	71.799546	88.144349	71.202073	71.473977	
89.555258	82.206416	60.328068	70.867762	75.416617	62.379958	
79.755422	73.653818	62.123443	67.775698	72.538041	81.894310	
68.408969	78.424701	74.225543	65.223417	89.008702	66.704732	
82.928813	72.175652	65.438876	61.039446	80.967723	84.204928	
65.636682	89.787779	68.465524	86.443230	60.970616	84.231801	
73.909476	89.938981	76.617029	62.360560	63.473595	86.467333	
70.156737	78.721324	77.619317	86.959535	79.427163	63.292080	
83.363538	81.528654	87.856084	66.341275	62.625060	69.327460	
69.004644	69.218919	78.146877	79.422945	69.444833	65.571153	
71.320507	78.925529	78.169454	72.298154	81.677659	80.760733	
84.176281	81.862617	80.548465	61.856459	68.620327	75.947008	
79.866849	66.563329	63.671705	64.721687	68.441350	77.640466	
82.402664	62.235273	75.226302	74.561674	84.356965	75.578625	
64.431139	73.585382	78.552147	80.921535	76.672790	73.287618	
68.127644	79.126239	60.066856	85.629565	84.078983	86.759413	
73.545125	68.944559	86.566513	81.457885	72.125848	79.067581	
61.087328	76.013950	62.394316	85.935522	72.070204	61.867539	
71.040464	81.383004	75.397710	88.839979	81.956799	88.196384	
81.118543	81.845782	76.047743	68.491957	71.239327	69.444052	
73.462138	70.020022	70.658000	79.183021	69.703391	63.583575	
80.958705	75.857547	85.362120	78.034236	76.854859	80.395443	
